permno,permco,ncusip,cusip,ticker,comnam,tic,conm,gvkey,long_cusip,naics,exchcd,namedt,nameenddt,st_date,end_date,cusip_score,ticker_match_score,name_match_score,average_match_score
10026.0,7976.0,46603210,46603210,JJSF,J & J SNACK FOODS CORP,JJSF,J & J SNACK FOODS CORP,012825,466032109,311812,3.0,1986-02-04,2019-12-31,1986-02-28,2019-12-31,1.0,100.0,100.0,100.0
10028.0,7978.0,29402E10,29402E10,ELA,ENVELA CORP,ELA,ENVELA CORP,012096,29402E102,453998,2.0,2019-12-18,2019-12-31,1986-02-28,2019-12-31,1.0,100.0,100.0,100.0
10032.0,7980.0,72913210,72913210,PLXS,PLEXUS CORP,PLXS,PLEXUS CORP,012945,729132100,334412,3.0,1986-02-05,2019-12-31,1986-02-28,2019-12-31,1.0,100.0,100.0,100.0
10044.0,7992.0,77467X10,77467X10,RMCF,ROCKY MOUNTAIN CHOC FAC INC NEW,RMCF,ROCKY MOUNTAIN CHOC FACT INC,011976,77467X101,311352,3.0,2015-03-02,2019-12-31,1986-02-28,2019-12-31,1.0,100.0,96.0,98.0
10051.0,7999.0,41043F20,41043F20,HGR,HANGER ORTHOPEDIC GROUP INC,HNGR,HANGER INC,016456,41043F208,621498,2.0,1991-05-01,1998-12-14,1986-02-28,2019-12-31,1.0,86.0,70.0,78.0
10065.0,20023.0,00621210,00621210,ADX,ADAMS EXPRESS CO,ADX,ADAMS DIVERSIFIED EQUITY FD,001119,006212104,525990,1.0,1968-01-02,2019-12-31,1925-12-31,2019-12-31,1.0,100.0,56.0,78.0
10104.0,8045.0,68389X10,68389X10,ORCL,ORACLE SYSTEMS CORP,ORCL,ORACLE CORP,012142,68389X105,519130,3.0,1986-03-12,1995-05-31,1986-03-31,2019-12-31,1.0,100.0,64.0,82.0
10107.0,8048.0,59491810,59491810,MSFT,MICROSOFT CORP,MSFT,MICROSOFT CORP,012141,594918104,511210,3.0,1986-03-13,2019-12-31,1986-03-31,2019-12-31,1.0,100.0,100.0,100.0
10138.0,8087.0,74144T10,74144T10,TROW,T ROWE PRICE GROUP INC,TROW,PRICE (T. ROWE) GROUP,012138,74144T108,523930,3.0,2000-12-29,2019-12-31,1986-04-30,2019-12-31,1.0,100.0,61.0,80.5
10145.0,22168.0,43851610,43851610,HON,HONEYWELL INTERNATIONAL INC,HON,HONEYWELL INTERNATIONAL INC,001300,438516106,336413,1.0,1999-12-02,2019-12-31,1925-12-31,2019-12-31,1.0,100.0,100.0,100.0
10158.0,53454.0,02361E10,02361E10,AMRC,AMERESCO INC,AMRC,AMERESCO INC,185128,02361E108,237130,1.0,2010-07-22,2019-12-31,2010-07-30,2019-12-31,1.0,100.0,100.0,100.0
10180.0,9743.0,00972810,00972810,AKRX,AKORN INC,AKRXQ,AKORN INC,014304,009728106,325412,3.0,2007-02-07,2019-12-31,1988-04-29,2019-12-31,1.0,89.0,100.0,94.5
10182.0,8125.0,87823710,87823710,TECD,TECH DATA CORP,TECD,TECH DATA CORP,012171,878237106,423430,3.0,1986-04-23,2019-12-31,1986-04-30,2019-12-31,1.0,100.0,100.0,100.0
10200.0,8135.0,75991610,75991610,RGEN,REPLIGEN CORP,RGEN,REPLIGEN CORP,012181,759916109,325414,3.0,1986-04-29,2019-12-31,1986-04-30,2019-12-31,1.0,100.0,100.0,100.0
10207.0,9806.0,85208J10,85208J10,FUND,SPROTT FOCUS TRUST INC,FUND,SPROTT FOCUS TRUST INC,017280,85208J109,525990,3.0,2015-03-09,2019-12-31,1988-06-30,2019-12-31,1.0,100.0,100.0,100.0
10220.0,53456.0,05605H10,05605H10,BWXT,B W X TECHNOLOGIES INC,BWXT,BWX TECHNOLOGIES INC,185229,05605H100,333249,1.0,2015-07-01,2019-12-31,2010-08-31,2019-12-31,1.0,100.0,95.0,97.5
10232.0,8158.0,28966010,28966010,ESBK,ELMIRA SAVINGS BANK FSB NY,ESBK,ELMIRA SVGS BANK ELMIRA/NY,017987,289660102,522120,3.0,1986-05-08,2012-06-04,1986-05-30,2019-12-31,1.0,100.0,73.0,86.5
10239.0,714.0,74368L20,74368L20,PTVCB,PROTECTIVE INSURANCE CORP,PTVCB,PROTECTIVE INSURANCE CORP,001982,74368L203,524126,3.0,2018-08-01,2019-12-31,1986-05-30,2019-12-31,1.0,100.0,100.0,100.0
10252.0,8179.0,45383610,45383610,INDB,INDEPENDENT BANK CORP MA,INDB,INDEPENDENT BANK CORP/MA,016889,453836108,522110,3.0,1986-05-14,2019-12-31,1986-05-30,2019-12-31,1.0,100.0,96.0,98.0
10257.0,8185.0,23335Q10,23335Q10,DLHC,D L H HOLDINGS CORP,DLHC,DLH HOLDINGS CORP,012304,23335Q100,621999,3.0,2012-06-27,2019-12-31,1986-05-30,2019-12-31,1.0,100.0,94.0,97.0
10258.0,8186.0,15117B20,15117B20,CLDX,CELLDEX THERAPEUTICS INC,CLDX,CELLDEX THERAPEUTICS INC,179598,15117B202,325414,3.0,2019-02-11,2019-12-31,1986-05-30,2019-12-31,1.0,100.0,100.0,100.0
10294.0,2089.0,41959620,41959620,HVT,HAVERTY FURNITURE COS INC,HVT.A,HAVERTY FURNITURE,005523,419596200,442110,1.0,1998-08-28,2019-12-31,1986-05-30,2019-12-31,1.0,75.0,100.0,87.5
10302.0,8222.0,23280610,23280610,CY,CYPRESS SEMICONDUCTOR CORP,CY,CYPRESS SEMICONDUCTOR CORP,012215,232806109,334413,1.0,1988-10-17,2009-11-11,1986-05-30,2019-12-31,1.0,100.0,100.0,100.0
10308.0,8228.0,89011010,89011010,TMP,TOMPKINS COUNTY TRUSTCO INC,TMP,TOMPKINS FINANCIAL CORP,017240,890110109,522110,2.0,1997-02-03,1999-05-13,1986-06-30,2019-12-31,1.0,100.0,52.0,76.0
10318.0,8237.0,05766520,05766520,BCPC,BALCHEM CORP,BCPC,BALCHEM CORP  -CL B,001979,057665200,325412,3.0,2006-12-22,2019-12-31,1986-06-30,2019-12-31,1.0,100.0,100.0,100.0
10333.0,8254.0,98419J20,98419J20,XOMA,XOMA CORP,XOMA,XOMA CORP,012252,98419J206,325414,3.0,2016-10-18,2019-12-31,1986-06-30,2019-12-31,1.0,100.0,100.0,100.0
10355.0,8278.0,23391210,23391210,DJCO,DAILY JOURNAL CO,DJCO,DAILY JOURNAL CORP,012568,233912104,511210,3.0,1986-06-11,1987-04-07,1986-06-30,2019-12-31,1.0,100.0,100.0,100.0
10363.0,8284.0,00163U10,00163U10,AMAG,A M A G PHARMACEUTICALS INC,AMAG,AMAG PHARMACEUTICALS INC,012250,00163U106,325412,3.0,2007-07-25,2019-12-31,1986-06-30,2019-12-31,1.0,100.0,92.0,96.0
10382.0,8299.0,04622410,04622410,ASTE,ASTEC INDUSTRIES INC,ASTE,ASTEC INDUSTRIES INC,012262,046224101,333120,3.0,1986-06-18,2019-12-31,1986-06-30,2019-12-31,1.0,100.0,100.0,100.0
10397.0,8317.0,95075510,95075510,WERN,WERNER ENTERPRISES INC,WERN,WERNER ENTERPRISES INC,012266,950755108,484121,3.0,1986-06-20,2019-12-31,1986-06-30,2019-12-31,1.0,100.0,100.0,100.0
10421.0,8340.0,83087910,83087910,SKYW,SKYWEST INC,SKYW,SKYWEST INC,012392,830879102,481111,3.0,1986-06-26,2019-12-31,1986-06-30,2019-12-31,1.0,100.0,100.0,100.0
10443.0,8360.0,30292L10,30292L10,FRPH,F R P HOLDINGS INC,FRPH,FRP HOLDINGS INC,012926,30292L107,531120,3.0,2014-12-05,2019-12-31,1986-07-31,2019-12-31,1.0,100.0,94.0,97.0
10463.0,8377.0,76091110,76091110,REFR,RESEARCH FRONTIERS INC,REFR,RESEARCH FRONTIERS INC,012377,760911107,541715,3.0,1986-07-08,2019-12-31,1986-07-31,2019-12-31,1.0,100.0,100.0,100.0
10501.0,8418.0,03050610,03050610,AMWD,AMERICAN WOODMARK CORP,AMWD,AMERICAN WOODMARK CORP,012379,030506109,337110,3.0,1986-07-18,2019-12-31,1986-07-31,2019-12-31,1.0,100.0,100.0,100.0
10514.0,8431.0,89336Q20,89336Q20,TWMC,TRANS WORLD ENTERTAINMENT CORP,TWMC,TRANS WORLD ENTMT CORP,012421,89336Q209,443142,3.0,2019-08-15,2019-12-31,1986-07-31,2019-12-31,1.0,100.0,73.0,86.5
10516.0,20207.0,03948310,03948310,ADM,ARCHER DANIELS MIDLAND CO,ADM,ARCHER-DANIELS-MIDLAND CO,001722,039483102,31122,1.0,1968-01-02,2019-12-31,1925-12-31,2019-12-31,1.0,100.0,92.0,96.0
10517.0,5674.0,00253530,00253530,AAN,AARONS INC,AAN,AARON'S INC,001076,002535300,532289,1.0,2009-04-20,2019-12-31,1982-11-30,2019-12-31,1.0,100.0,90.0,95.0
10530.0,8441.0,58958410,58958410,VIVO,MERIDIAN BIOSCIENCE INC,VIVO,MERIDIAN BIOSCIENCE INC,012433,589584101,325413,3.0,2001-01-25,2019-12-31,1986-07-31,2019-12-31,1.0,100.0,100.0,100.0
10547.0,8458.0,18482P10,18482P10,CLFD,CLEARFIELD INC,CLFD,CLEARFIELD INC,012482,18482P103,334419,3.0,2008-01-02,2019-12-31,1986-08-29,2019-12-31,1.0,100.0,100.0,100.0
10550.0,8461.0,74265M20,74265M20,PDEX,PRO DEX INC COLO,PDEX,PRO-DEX INC/CO,012458,74265M205,339112,3.0,2010-06-18,2019-12-31,1986-08-29,2019-12-31,1.0,100.0,86.0,93.0
10629.0,8534.0,30252010,30252010,FNB,F N B CORP PA,FNB,F N B CORP/FL,018049,302520101,522110,1.0,2003-12-17,2019-12-31,1986-09-30,2019-12-31,1.0,100.0,77.0,88.5
10645.0,8549.0,51179510,51179510,LAKE,LAKELAND INDUSTRIES INC,LAKE,LAKELAND INDUSTRIES INC,012597,511795106,339113,3.0,1986-09-09,2019-12-31,1986-09-30,2019-12-31,1.0,100.0,100.0,100.0
10649.0,8551.0,69314910,69314910,PTSI,P A M TRANSPORTATION SVCS INC,PTSI,P.A.M. TRANSPORTATION SVCS,012598,693149106,484121,3.0,1986-09-10,2019-12-31,1986-09-30,2019-12-31,1.0,100.0,88.0,94.0
10661.0,8565.0,23243730,23243730,CYAN,CYANOTECH CORP,CYAN,CYANOTECH CORP,012575,232437301,325411,3.0,2006-11-06,2019-12-31,1986-09-30,2019-12-31,1.0,100.0,100.0,100.0
10693.0,8596.0,29261A10,29261A10,EHC,ENCOMPASS HEALTH CORP,EHC,ENCOMPASS HEALTH CORP,012589,29261A100,622310,1.0,2018-01-02,2019-12-31,1986-09-30,2019-12-31,1.0,100.0,100.0,100.0
10696.0,8598.0,33773810,33773810,FISV,FISERV INC,FISV,FISERV INC,012635,337738108,518210,3.0,1986-09-25,2019-12-31,1986-09-30,2019-12-31,1.0,100.0,100.0,100.0
10777.0,8674.0,31946M10,31946M10,FCNCA,FIRST CITIZENS BANCSHARES INC N,FCNCA,FIRST CITIZENS BANCSH  -CL A,004690,31946M103,522110,3.0,1986-10-22,2019-12-31,1986-10-31,2019-12-31,1.0,100.0,79.0,89.5
10779.0,65.0,05587G10,05587G10,BKTI,B K TECHNOLOGIES CORP,BKTI,BK TECHNOLOGIES CORP,001117,05587G104,334220,2.0,2019-03-29,2019-12-31,1978-10-31,2019-12-31,1.0,100.0,95.0,97.5
10781.0,8677.0,06506610,06506610,BKSC,BANK SOUTH CAROLINA CORP,BKSC,BANK SOUTH CAROLINA CORP,017641,065066102,522110,3.0,1995-04-17,2019-12-31,1986-10-31,2019-12-31,1.0,100.0,100.0,100.0
10812.0,8702.0,42234710,42234710,HTLD,HEARTLAND EXPRESS INC,HTLD,HEARTLAND EXPRESS INC,012840,422347104,484121,3.0,1986-11-05,2019-12-31,1986-11-28,2019-12-31,1.0,100.0,100.0,100.0
10860.0,8743.0,68554V10,68554V10,OSUR,ORASURE TECHNOLOGIES INC,OSUR,ORASURE TECHNOLOGIES INC,012915,68554V108,325413,3.0,2000-10-02,2019-12-31,1986-11-28,2019-12-31,1.0,100.0,100.0,100.0
10866.0,20342.0,12950010,12950010,CAL,CALERES INC,CAL,CALERES INC,002436,129500104,316210,1.0,2015-05-29,2019-12-31,1925-12-31,2019-12-31,1.0,100.0,100.0,100.0
10874.0,20344.0,11704310,11704310,BC,BRUNSWICK CORP,BC,BRUNSWICK CORP,002444,117043109,333618,1.0,1968-01-02,2019-12-31,1925-12-31,2019-12-31,1.0,100.0,100.0,100.0
10886.0,8762.0,25551910,25551910,DXYN,DIXIE GROUP INC,DXYN,DIXIE GROUP INC,004001,255519100,314110,3.0,1997-05-02,2019-12-31,1986-11-28,2019-12-31,1.0,100.0,100.0,100.0
10890.0,21814.0,90921430,90921430,UIS,UNISYS CORP,UIS,UNISYS CORP,002504,909214306,541512,1.0,2009-10-26,2019-12-31,1925-12-31,2019-12-31,1.0,100.0,100.0,100.0
10892.0,8766.0,92932810,92932810,WSFS,WSFS FINANCIAL CORP,WSFS,WSFS FINANCIAL CORP,017132,929328102,522120,3.0,1993-06-01,2019-12-31,1986-11-28,2019-12-31,1.0,100.0,100.0,100.0
10901.0,8778.0,46180410,46180410,ITIC,INVESTORS TITLE CO,ITIC,INVESTORS TITLE CO,014401,461804106,524127,3.0,1986-12-03,1987-05-21,1986-12-31,2019-12-31,1.0,100.0,100.0,100.0
10909.0,8786.0,15678210,15678210,CERN,CERNER CORP,CERN,CERNER CORP,012850,156782104,541512,3.0,1986-12-05,2019-12-31,1986-12-31,2019-12-31,1.0,100.0,100.0,100.0
10932.0,8810.0,94789010,94789010,WBS,WEBSTER FINANCIAL CORP,WBS,WEBSTER FINANCIAL CORP,017150,947890109,522110,1.0,2002-10-17,2019-12-31,1986-12-31,2019-12-31,1.0,100.0,100.0,100.0
10933.0,8811.0,57053510,57053510,MKL,MARKEL CORP,MKL,MARKEL CORP,012909,570535104,524126,1.0,1997-06-11,2019-12-31,1986-12-31,2019-12-31,1.0,100.0,100.0,100.0
10966.0,8839.0,05463X10,05463X10,AXGN,AXOGEN INC,AXGN,AXOGEN INC,190355,05463X106,339113,3.0,2013-08-09,2019-12-31,1986-12-31,2019-12-31,1.0,100.0,100.0,100.0
11006.0,8879.0,32073410,32073410,FLIC,FIRST LONG ISLAND CORP,FLIC,FIRST LONG ISLAND CORP,018307,320734106,522110,3.0,1987-01-08,2019-12-31,1987-01-30,2019-12-31,1.0,100.0,100.0,100.0
11018.0,8889.0,31867270,31867270,FBP,FIRST BANCORP P R,FBP,FIRST BANCORP P R,016821,318672706,522110,1.0,2011-01-07,2019-12-31,1987-01-30,2019-12-31,1.0,100.0,100.0,100.0
11043.0,8909.0,74437520,74437520,PMD,PSYCHEMEDICS CORP,PMD,PSYCHEMEDICS CORP,013733,744375205,621511,2.0,2002-08-01,2008-09-22,1987-01-30,2019-12-31,1.0,100.0,100.0,100.0
11144.0,9002.0,03037110,03037110,AVD,AMERICAN VANGUARD CORP,AVD,AMERICAN VANGUARD CORP,001585,030371108,325320,2.0,1998-01-27,2006-03-06,1987-03-31,2019-12-31,1.0,100.0,100.0,100.0
11154.0,9010.0,71940510,71940510,PLAB,PHOTRONIC LABS INC,PLAB,PHOTRONICS INC,013200,719405102,334413,3.0,1987-03-10,1990-04-18,1987-03-31,2019-12-31,1.0,100.0,71.0,85.5
11174.0,9023.0,03062T10,03062T10,CRMT,AMERICAS CAR MART INC,CRMT,AMERICA'S CAR-MART INC,013602,03062T105,441120,3.0,2002-04-01,2019-12-31,1987-03-31,2019-12-31,1.0,100.0,90.0,95.0
11203.0,9053.0,G0464B10,G0464B10,ARGO,ARGO GROUP INTL HLDGS LTD,ARGO,ARGO GROUP INTL HOLDINGS LTD,015364,G0464B107,524126,1.0,2018-05-07,2019-12-31,1987-03-31,2019-12-31,1.0,100.0,88.0,94.0
11208.0,9058.0,67103X10,67103X10,OFG,O F G BANCORP,OFG,OFG BANCORP,016981,67103X102,522110,1.0,2013-04-26,2019-12-31,1987-03-31,2019-12-31,1.0,100.0,91.0,95.5
11267.0,9117.0,14920510,14920510,CATO,CATO CORP NEW,CATO,CATO CORP  -CL A,002818,149205106,448120,1.0,2009-10-16,2019-12-31,1987-04-30,2019-12-31,1.0,100.0,77.0,88.5
11275.0,9128.0,75991010,75991010,KRMD,REPRO MED SYSTEMS INC,KRMD,REPRO MEDSYSTEMS INC,013239,759910102,339112,3.0,2019-10-24,2019-12-31,1987-04-30,2019-12-31,1.0,100.0,95.0,97.5
11285.0,9141.0,31891010,31891010,FBNC,FIRST BANCORP NC,FBNC,FIRST BANCORP/NC,016777,318910106,522110,3.0,1987-04-30,2019-12-31,1987-04-30,2019-12-31,1.0,100.0,94.0,97.0
11292.0,9146.0,45252530,45252530,ICCC,IMMUCELL CORP,ICCC,IMMUCELL CORP,013235,452525306,325413,3.0,1990-07-24,2019-12-31,1987-05-29,2019-12-31,1.0,100.0,100.0,100.0
11293.0,9147.0,95081010,95081010,WSBC,WESBANCO INC,WSBC,WESBANCO INC,017151,950810101,522110,3.0,1987-05-04,2019-12-31,1987-05-29,2019-12-31,1.0,100.0,100.0,100.0
